id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
56665787,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,60d0f068-9c8f-4d0b-ab8c-5cac56c953ba,AUGIEENTA0000022,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia tredecimpunctata,27404,"Guérin-Méneville, 1842",Hippodamia,tredecimpunctata,,,Larson I.W.,1975,,,,,,Carlson C. A.,22,5/4/1965,1965,5,4,124,,May 4 1965,,,,,,,,,,,,,,,,,United States,IL,Mercer,Sherrard,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 8:10,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:60d0f068-9c8f-4d0b-ab8c-5cac56c953ba,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56665787
56665789,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,4700dd30-883d-421e-8094-788e639e3564,AUGIEENTA0000023,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia tredecimpunctata,27404,"Guérin-Méneville, 1842",Hippodamia,tredecimpunctata,,,Larson I.W.,1975,,,,,,Carlson C. A.,23,5/4/1965,1965,5,4,124,,May 4 1965,,,,,,,,,,,,,,,,,United States,IL,Mercer,Sherrard,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:28,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:4700dd30-883d-421e-8094-788e639e3564,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56665789
56665795,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,db196a14-1ec8-436e-b7b4-0caba82bacc4,AUGIEENTA0000024,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia tredecimpunctata,27404,"Guérin-Méneville, 1842",Hippodamia,tredecimpunctata,,,Larson I.W.,1975,,,,,,Lindquist A.,24,11/5/1972,1972,11,5,310,,Nov. 5 1972,,,,,,,,,,,,,,,,,United States,IL,Rock Island,,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 8:16,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:db196a14-1ec8-436e-b7b4-0caba82bacc4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56665795
56667624,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,30a201ba-09d1-4080-b62f-46193e8db0d5,AUGIEENTA0000025,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Schroder S. W.,25,6/18/1975,1975,6,18,169,,1975.VI. 18,,,,,,,,,,,,,,,,,United States,IL,Rcok Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:06,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:30a201ba-09d1-4080-b62f-46193e8db0d5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667624
56667633,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,625d1023-295b-4cde-9983-3593e3fe01bc,AUGIEENTA0000026,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Carlson C. A.,26,6/24/1966,1966,6,24,175,,29-Jun-66,,,,,,,,,,,,,,,,,United States,IL,Rock Island,,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:10,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:625d1023-295b-4cde-9983-3593e3fe01bc,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667633
56667640,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,ece7c3de-5757-4cce-bfab-87339668cc87,AUGIEENTA0000027,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Tindall Joe,27,5/24/1965,1965,5,24,144,,May 24 1965,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Moline,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:13,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:ece7c3de-5757-4cce-bfab-87339668cc87,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667640
56667646,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,e204237b-687d-402a-b149-67b27b44f9f5,AUEIEENTA0000028,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Tindall Joe,28,5/4/1965,1965,5,4,124,,May 4 1965,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Moline,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:15,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:e204237b-687d-402a-b149-67b27b44f9f5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667646
56667650,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,b1a71900-c911-4e3b-802f-4ba1e95b1c3a,AUGIEENTA0000029,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Carlson C. A.,29,6/29/1966,1966,6,29,180,,29-Jun-66,,,,,,,,,,,,,,,,,United States,IL,Rock Island,,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:18,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:b1a71900-c911-4e3b-802f-4ba1e95b1c3a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667650
56667653,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,cd2ac0b9-1168-48c3-98fe-e42f93a6ed92,AUGIEENTA0000030,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Yazsec J.,30,9/17/1976,1976,9,17,261,,IX-17-1976,,,,,,,,,,,,,,,,,United States,IL,Rock Island,,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:20,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:cd2ac0b9-1168-48c3-98fe-e42f93a6ed92,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667653
56667658,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,eea8e306-7636-497e-816f-d3c3a1eeb3d0,AUGIEENTA0000031,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Brachiacantha ursina,24421,"Guérin-Méneville, 1842",Brachiacantha,ursina,,,Larson I.W.,1975,,,,,,Bennett S.,31,7/16/1975,1975,7,16,197,,1975-VII-16,,,,,,,,,,,,,,,,,United States,IL,Rock Island,,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/25/2021 8:23,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:eea8e306-7636-497e-816f-d3c3a1eeb3d0,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56667658
