"","catalogNumber","coordinates","plotType","longitude","latitude"
"31","AUGIEENTB0000013","41.56304-90.46707","LP-GU","41.56304","90.46707"
"32","AUGIEENTB0000014","41.56304-90.46707","LP-GU","41.56304","90.46707"
"33","AUGIEENTB0000008","41.56304-90.46707","LP-GU","41.56304","90.46707"
"34","AUGIEENTB0000020","41.56304-90.46707","LP-GU","41.56304","90.46707"
"35","AUGIEENTB0000001","41.56812-90.57119","LP-GU","41.56812","90.57119"
"36","AUGIEENTB0000019","41.56812-90.57119","LP-GU","41.56812","90.57119"
"37","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"38","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"39","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"40","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"41","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"42","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"43","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"44","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"45","AUGIEENTB0000002","41.56770-90.52301","LP-IC","41.56770","90.52301"
"46","NO SCAN","41.56770-90.52301","LP-IC","41.56770","90.52301"
"47","AUGIEENTB0000098","41.544137-90.649164","LP-AG","41.544137","90.649164"
"48","AUGIEENB0000099","41.544137-90.649164","LP-AG","41.544137","90.649164"
"49","AUGIEENTB0000100","41.544137-90.649164","LP-AG","41.544137","90.649164"
"50","AUGIEENTB0000101","41.544137-90.649164","LP-AG","41.544137","90.649164"
"51","AUGIEENTB0000102","41.50609-90.73943","LP-AG","41.50609","90.73943"
"52","AUGIEENTB0000055","41.57847-90.61787","LP-AG","41.57847","90.61787"
"53","AUGIEENTB0000056","41.57847-90.61787","LP-AG","41.57847","90.61787"
"54","AUGIEENTB0000057","41.57847-90.61787","LP-AG","41.57847","90.61787"
"55","AUGIEENTB0000062","41.57847-90.61787","LP-AG","41.57847","90.61787"
"56","AUGIEENTB0000063","41.57847-90.61787","LP-AG","41.57847","90.61787"
"57","AUGIEENTB0000064","41.57847-90.61787","LP-AG","41.57847","90.61787"
"58","AUGIEENTB0000065","41.57847-90.61787","LP-AG","41.57847","90.61787"
"59","AUGIEENTB0000066","41.57847-90.61787","LP-AG","41.57847","90.61787"
"60","AUGIEENTB0000067","41.57847-90.61787","LP-AG","41.57847","90.61787"
"61","AUGIEENTB0000068","41.57847-90.61787","LP-AG","41.57847","90.61787"
"62","AUGIEENTB0000069","41.57847-90.61787","LP-AG","41.57847","90.61787"
"63","AUGIEENTB0000070","41.57847-90.61787","LP-AG","41.57847","90.61787"
"64","AUGIEENTB0000090","41.57847-90.61787","LP-AG","41.57847","90.61787"
"65","AUGIEENTB0000091","41.57847-90.61787","LP-AG","41.57847","90.61787"
"66","AUGIEENTB0000092","41.57847-90.61787","LP-AG","41.57847","90.61787"
"67","AUGIEENTB0000093","41.57847-90.61787","LP-AG","41.57847","90.61787"
"68","AUGIEENTB0000094","41.57847-90.61787","LP-AG","41.57847","90.61787"
"69","AUGIEENTB0000095","41.57847-90.61787","LP-AG","41.57847","90.61787"
"70","AUGIEENTB0000106","41.57847-90.61787","LP-AG","41.57847","90.61787"
"71","AUGIEENTB0000107","41.57847-90.61787","LP-AG","41.57847","90.61787"
"72","AUGIEENTB0000108","41.57847-90.61787","LP-AG","41.57847","90.61787"
"73","AUGIEENTB0000109","41.57847-90.61787","LP-AG","41.57847","90.61787"
"74","AUGIEENTB0000110","41.57847-90.61787","LP-AG","41.57847","90.61787"
"75","AUGIEENTB0000111","40.57847-90.61787","LP-AG","40.57847","90.61787"
"76","AUGIEENTB0000112","40.57847-90.61787","LP-AG","40.57847","90.61787"
"77","AUGIEENTB0000113","40.57847-90.61787","LP-AG","40.57847","90.61787"
"78","AUGIEENTB0000114","40.57847-90.61787","LP-AG","40.57847","90.61787"
"79","AUGIEENTB0000034","41.611341-90.53765","LP-AG","41.611341","90.53765"
"80","AUGIEENTB0000035","41.611341-90.53765","LP-AG","41.611341","90.53765"
"81","AUGIEENTB0000036","41.611341-90.53765","LP-AG","41.611341","90.53765"
"82","AUGIEENTB0000037","41.611341-90.53765","LP-AG","41.611341","90.53765"
"83","AUGIEENTB0000038","41.611341-90.53765","LP-AG","41.611341","90.53765"
"84","AUGIEENTB0000123","41.428138-90.508097","LP-AG","41.428138","90.508097"
"85","AUGIEENTB0000124","41.428138-90.508097","LP-AG","41.428138","90.508097"
"86","AUGIEENTB0000125","41.428138-90.508097","LP-AG","41.428138","90.508097"
"87","AUGIEENTB0000126","41.428138-90.508097","LP-AG","41.428138","90.508097"
"88","AUGIEENTB0000127","41.428138-90.508097","LP-AG","41.428138","90.508097"
"89","AUGIEENTB0000129","41.428138-90.508097","LP-AG","41.428138","90.508097"
"90","AUGIEENTB0000130","41.428138-90.508097","LP-AG","41.428138","90.508097"
"91","AUGIEENTB0000131","41.428138-90.508097","LP-AG","41.428138","90.508097"
"92","AUGIEENTB0000132","41.428138-90.508097","LP-AG","41.428138","90.508097"
"93","NO SCAN","41.428138-90.508097","LP-AG","41.428138","90.508097"
"94","NO SCAN","41.428138-90.508097","LP-AG","41.428138","90.508097"
"95","AUGIEENTB0000105","41.435905-90.501557","LP-GF","41.435905","90.501557"
"96","AUGIEENTB0000137","41.47252-90.473754","LP-GF","41.47252","90.473754"
"97","AUGIEENTB0000138","41.47252-90.473754","LP-GF","41.47252","90.473754"
"98","AUGIEENTB0000139","41.47252-90.473754","LP-GF","41.47252","90.473754"
"99","AUGIEENTB0000140","41.47252-90.473754","LP-GF","41.47252","90.473754"
"100","AUGIEENTB0000141","41.47252-90.473754","LP-GF","41.47252","90.473754"
"101","AUGIEENTB0000104","41.550606-90.62248","LP-GM","41.550606","90.62248"
"102","AUGIEENTB0000030","41.57974-90.4891","LP-GM","41.57974","90.4891"
"103","AUGIEENTB0000031","41.57974-90.4891","LP-GM","41.57974","90.4891"
"104","AUGIEENTB0000032","41.57974-90.4891","LP-GM","41.57974","90.4891"
"105","AUGIEENTB0000033","41.57974-90.4891","LP-GM","41.57974","90.4891"
"106","AUGIEENTB0000039","41.56304-90.46707","LP-GU","41.56304","90.46707"
"107","AUGIEENTB0000040","41.56304-90.46707","LP-GU","41.56304","90.46707"
"108","AUGIEENTB0000041","41.56304-90.46707","LP-GU","41.56304","90.46707"
"109","AUGIEENTB0000042","41.56304-90.46707","LP-GU","41.56304","90.46707"
"110","AUGIEENTB0000043","41.56304-90.46707","LP-GU","41.56304","90.46707"
"111","AUGIEENTB0000044","41.56304-90.46707","LP-GU","41.56304","90.46707"
"112","AUGIEENTB0000045","41.56304-90.46707","LP-GU","41.56304","90.46707"
"113","AUGIEENTB0000046","41.56304-90.46707","LP-GU","41.56304","90.46707"
"114","AUGIEENTB0000047","41.56304-90.46707","LP-GU","41.56304","90.46707"
"115","AUGIEENTB0000048","41.56304-90.46707","LP-GU","41.56304","90.46707"
"116","AUGIEENTB0000049","41.56304-90.46707","LP-GU","41.56304","90.46707"
"117","AUGIEENTB0000050","41.56304-90.46707","LP-GU","41.56304","90.46707"
"118","AUGIEENTB0000051","41.56304-90.46707","LP-GU","41.56304","90.46707"
"119","AUGIEENTB0000052","41.56304-90.46707","LP-GU","41.56304","90.46707"
"120","AUGIEENTB0000053","41.56304-90.46707","LP-GU","41.56304","90.46707"
"121","AUGIEENTB0000054","41.56304-90.46707","LP-GU","41.56304","90.46707"
"122","AUGIEENTB0000058","41.56304-90.46707","LP-GU","41.56304","90.46707"
"123","AUGIEENTB0000059","41.56304-90.46707","LP-GU","41.56304","90.46707"
"124","AUGIEENTB0000060","41.56304-90.46707","LP-GU","41.56304","90.46707"
"125","AUGIEENTB0000061","41.56304-90.46707","LP-GU","41.56304","90.46707"
"126","AUGIEENTB0000071","41.537828-90.645823","LP-GU","41.537828","90.645823"
"127","AUGIEENTB0000072","41.537828-90.645823","LP-GU","41.537828","90.645823"
"128","AUGIEENTB0000073","41.537828-90.645823","LP-GU","41.537828","90.645823"
"129","AUGIEENB0000074","41.537828-90.645823","LP-GU","41.537828","90.645823"
"130","AUGIEENTB0000075","41.537828-90.645823","LP-GU","41.537828","90.645823"
"131","AUGIEENTB0000076","41.537828-90.645823","LP-GU","41.537828","90.645823"
"132","AUGIEENTB0000077","41.537828-90.645823","LP-GU","41.537828","90.645823"
"133","AUGIEENTB0000078","41.537828-90.645823","LP-GU","41.537828","90.645823"
"134","AUGIEENTB0000079","41.537828-90.645823","LP-GU","41.537828","90.645823"
"135","AUGIEENTB0000080","41.537828-90.645823","LP-GU","41.537828","90.645823"
"136","AUGIEENTB0000081","41.537828-90.645823","LP-GU","41.537828","90.645823"
"137","AUGIEENTB0000082","41.537828-90.645823","LP-GU","41.537828","90.645823"
"138","AUGIEENTB0000083","41.537828-90.645823","LP-GU","41.537828","90.645823"
"139","NO SCAN","41.537828-90.645823","LP-GU","41.537828","90.645823"
"140","NO SCAN","41.537828-90.645823","LP-GU","41.537828","90.645823"
"141","NO SCAN","41.537828-90.645823","LP-GU","41.537828","90.645823"
"142","AUGIEENTB0000084","41.56812-90.57119","LP-GU","41.56812","90.57119"
"143","AUGIEENTB0000085","41.56812-90.57119","LP-GU","41.56812","90.57119"
"144","AUGIEENTB0000086","41.56812-90.57119","LP-GU","41.56812","90.57119"
"145","AUGIEENTB0000087","41.56812-90.57119","LP-GU","41.56812","90.57119"
"146","AUGIEENTB0000088","41.56812-90.57119","LP-GU","41.56812","90.57119"
"147","NO SCAN","41.56812-90.57119","LP-GU","41.56812","90.57119"
"148","AUGIEENTB0000119","41.531584-90.414653","LP-GU","41.531584","90.414653"
"149","AUGIEENTB0000120","41.531584-90.414653","LP-GU","41.531584","90.414653"
"150","AUGIEENTB0000121","41.531584-90.414653","LP-GU","41.531584","90.414653"
"151","AUGIEENTB0000122","41.531584-90.414653","LP-GU","41.531584","90.414653"
"152","AUGIEENTB0000133","41.463906-90.537662","LP-GU","41.463906","90.537662"
"153","AUGIEENTB0000134","41.463906-90.537662","LP-GU","41.463906","90.537662"
"154","AUGIEENTB0000089","41.5677-90.52301","LP-IC","41.5677","90.52301"
"155","AUGIEENTB0000096","41.5677-90.52301","LP-IC","41.5677","90.52301"
"156","AUGIEENTB0000097","41.5677-90.52301","LP-IC","41.5677","90.52301"
"157","AUGIEENTB0000115","41.556505-90.57834","LP-IC","41.556505","90.57834"
"158","AUGIEENTB0000116","41.556505-90.57834","LP-IC","41.556505","90.57834"
"159","AUGIEENTB0000117","41.556505-90.57834","LP-IC","41.556505","90.57834"
"160","AUGIEENTB0000135","41.520413-90.439069","LP-IC","41.520413","90.439069"
"161","AUGIEENTB0000136","41.520413-90.439069","LP-IC","41.520413","90.439069"
"162","AUGIEENTB0000118","41.469869-90.506684","LP-IC","41.469869","90.506684"
"163","NO SCAN","41.461935-90.691037","LP-IC","41.461935","90.691037"
"164","AUGIEENTB0000165","41.54437-90.649164","LP-AG","41.54437","90.649164"
"165","AUGIEENTB0000166","41.54437-90.649164","LP-AG","41.54437","90.649164"
"166","AUGIEENTB0000167","41.54437-90.649164","LP-AG","41.54437","90.649164"
"167","AUGIEENTB0000168","41.54437-90.649164","LP-AG","41.54437","90.649164"
"168","AUGIEENTB0000169","41.54437-90.649164","LP-AG","41.54437","90.649164"
"169","AUGIEENTB0000170","41.54437-90.649164","LP-AG","41.54437","90.649164"
"170","AUGIEENTB0000171","41.54437-90.649164","LP-AG","41.54437","90.649164"
"171","AUGIEENTB0000172","41.54437-90.649164","LP-AG","41.54437","90.649164"
"172","AUGIEENTB0000173","41.54437-90.649164","LP-AG","41.54437","90.649164"
"173","AUGIEENTB0000174","41.50609-90.73943","LP-AG","41.50609","90.73943"
"174","AUGIEENTB0000175","41.50609-90.73943","LP-AG","41.50609","90.73943"
"175","AUGIEENTB0000183","41.50609-90.73943","LP-AG","41.50609","90.73943"
"176","AUGIEENTB0000184","41.57847-90.61787","LP-AG","41.57847","90.61787"
"177","AUGIEENTB0000185","41.57847-90.61787","LP-AG","41.57847","90.61787"
"178","AUGIEENTB0000186","41.57847-90.61787","LP-AG","41.57847","90.61787"
"179","AUGIEENTB0000187","41.428138-90.508097","LP-AG","41.428138","90.508097"
"180","AUGIEENTB0000188","41.428138-90.508097","LP-AG","41.428138","90.508097"
"181","AUGIEENTB0000189","41.428138-90.508097","LP-AG","41.428138","90.508097"
"182","AUGIEENTB0000234","41.428138-90.508097","LP-AG","41.428138","90.508097"
"183","AUGIEENTB0000190","41.509708-90.640451","LP-GF","41.509708","90.640451"
"184","AUGIEENTB0000233","41.435905-90.501559","LP-GF","41.435905","90.501559"
"185","AUGIEENTB0000191","41.47252-90.473754","LP-GF","41.47252","90.473754"
"186","AUGIEENTB0000176","41.550606-90.62248","LP-GM","41.550606","90.62248"
"187","AUGIEENTB0000177","41.550606-90.62248","LP-GM","41.550606","90.62248"
"188","AUGIEENTB0000178","41.550606-90.62248","LP-GM","41.550606","90.62248"
"189","AUGIEENTB0000142","41.56304-90.46707","LP-GU","41.56304","90.46707"
"190","AUGIEENTB0000143","41.56304-90.46707","LP-GU","41.56304","90.46707"
"191","AUGIEENTB0000144","41.56304-90.46707","LP-GU","41.56304","90.46707"
"192","AUGIEENTB0000145","41.56304-90.46707","LP-GU","41.56304","90.46707"
"193","AUGIEENTB0000146","41.56304-90.46707","LP-GU","41.56304","90.46707"
"194","AUGIEENTB0000147","41.537828-90.645823","LP-GU","41.537828","90.645823"
"195","AUGIEENTB0000148","41.537828-90.645823","LP-GU","41.537828","90.645823"
"196","AUGIEENTB0000149","41.537828-90.645823","LP-GU","41.537828","90.645823"
"197","AUGIEENTB0000150","41.537828-90.645823","LP-GU","41.537828","90.645823"
"198","AUGIEENTB0000151","41.537828-90.645823","LP-GU","41.537828","90.645823"
"199","AUGIEENTB0000152","41.537828-90.645823","LP-GU","41.537828","90.645823"
"200","AUGIEENTB0000153","41.537828-90.645823","LP-GU","41.537828","90.645823"
"201","AUGIEENTB0000154","41.537828-90.645823","LP-GU","41.537828","90.645823"
"202","AUGIEENTB0000155","41.537828-90.645823","LP-GU","41.537828","90.645823"
"203","AUGIEENTB0000156","41.537828-90.645823","LP-GU","41.537828","90.645823"
"204","AUGIEENTB0000157","41.537828-90.645823","LP-GU","41.537828","90.645823"
"205","NO SCAN","41.537828-90.645823","LP-GU","41.537828","90.645823"
"206","NO SCAN","41.537828-90.645823","LP-GU","41.537828","90.645823"
"207","AUGIEENTB0000158","41.56812-90.57119","LP-GU","41.56812","90.57119"
"208","AUGIEENTB0000159","41.435905-90.501557","LP-GU","41.435905","90.501557"
"209","AUGIEENTB0000160","41.47252-90.473754","LP-GU","41.47252","90.473754"
"210","AUGIEENTB0000161","41.47252-90.473754","LP-GU","41.47252","90.473754"
"211","AUGIEENTB0000179","41.5677-90.52301","LP-IC","41.5677","90.52301"
"212","AUGIEENTB0000180","41.5677-90.52301","LP-IC","41.5677","90.52301"
"213","AUGIEENTB0000181","41.5677-90.52301","LP-IC","41.5677","90.52301"
"214","AUGIEENTB0000182","41.520413-90.439069","LP-IC","41.520413","90.439069"
"215","AUGIEENTB0000162","41.469869-90.506684","LP-IC","41.469869","90.506684"
"216","AUGIEENTB0000163","41.469869-90.506684","LP-IC","41.469869","90.506684"
"217","AUGIEENTB0000164","41.469869-90.506684","LP-IC","41.469869","90.506684"
"218","AUGIEENTB0000220","40.506216-90.553531","LP-GA","40.506216","90.553531"
"219","AUGIEENTB0000221","41.54693-90.552795","LP-GA","41.54693","90.552795"
"220","AUGIEENTB0000222","41.54693-90.552795","LP-GA","41.54693","90.552795"
"221","AUGIEENTB0000223","41.54693-90.552795","LP-GA","41.54693","90.552795"
"222","AUGIEENTB0000224","41.54693-90.552795","LP-GA","41.54693","90.552795"
"223","AUGIEENTB0000225","41.54693-90.552795","LP-GA","41.54693","90.552795"
"224","AUGIEENTB0000226","41.54693-90.552795","LP-GA","41.54693","90.552795"
"225","AUGIEENTB0000227","41.54693-90.552795","LP-GA","41.54693","90.552795"
"226","AUGIEENTB0000228","41.54693-90.552795","LP-GA","41.54693","90.552795"
"227","AUGIEENTB0000229","41.54693-90.552795","LP-GA","41.54693","90.552795"
"228","AUGIEENTB0000230","41.54693-90.552795","LP-GA","41.54693","90.552795"
"229","NO SCAN","41.510229-90.490812","LP-GA","41.510229","90.490812"
"230","AUGIEENTB0000192","41.489621-90.635952","LP-PR","41.489621","90.635952"
"231","AUGIEENTB0000193","41.489621-90.635952","LP-PR","41.489621","90.635952"
