"","catalogNumber","coordinates","plotType","longitude","latitude"
"354","AUGIEENTB0000244","41.5677-90.52301","LP-IC","41.5677","90.52301"
"355","AUGIEENTB0000245","41.5677-90.52301","LP-IC","41.5677","90.52301"
"356","AUGIEENTB0000259","41.5677-90.52301","LP-IC","41.5677","90.52301"
"357","AUGIEENTB0000260","41.5677-90.52301","LP-IC","41.5677","90.52301"
"358","NO SCAN","41.5677-90.52301","LP-IC","41.5677","90.52301"
"359","NO SCAN","41.5677-90.52301","LP-IC","41.5677","90.52301"
"360","AUGIEENTB0000256","41.556505-90.57834","LP-IC","41.556505","90.57834"
"361","AUGIEENTB0000257","41.556505-90.57834","LP-IC","41.556505","90.57834"
"362","AUGIEENTB0000325","41.520413-90.439069","LP-IC","41.520413","90.439069"
"363","AUGIEENTB0000326","41.520413-90.439069","LP-IC","41.520413","90.439069"
"364","AUGIEENTB0000327","41.520413-90.439069","LP-IC","41.520413","90.439069"
"365","AUGIEENTB0000328","41.520413-90.439069","LP-IC","41.520413","90.439069"
"366","AUGIEENTB0000329","41.520413-90.439069","LP-IC","41.520413","90.439069"
"367","AUGIEENTB0000330","41.520413-90.439069","LP-IC","41.520413","90.439069"
"368","AUGIEENTB0000331","41.520413-90.439069","LP-IC","41.520413","90.439069"
"369","AUGIEENTB0000332","41.520413-90.439069","LP-IC","41.520413","90.439069"
"370","AUGIEENTB0000333","41.520413-90.439069","LP-IC","41.520413","90.439069"
"371","AUGIEENTB0000334","41.520413-90.439069","LP-IC","41.520413","90.439069"
"372","AUGIEENTB0000335","41.520413-90.439069","LP-IC","41.520413","90.439069"
"373","AUGIEENTB0000336","41.520413-90.439069","LP-IC","41.520413","90.439069"
"374","AUGIEENTB0000337","41.520413-90.439069","LP-IC","41.520413","90.439069"
"375","AUGIEENTB0000338","41.520413-90.439069","LP-IC","41.520413","90.439069"
"376","AUGIEENTB0000339","41.520413-90.439069","LP-IC","41.520413","90.439069"
"377","AUGIEENTB0000340","41.520413-90.439069","LP-IC","41.520413","90.439069"
"378","AUGIEENTB0000341","41.520413-90.439069","LP-IC","41.520413","90.439069"
"379","AUGIEENTB0000342","41.520413-90.439069","LP-IC","41.520413","90.439069"
"380","AUGIEENTB0000343","41.520413-90.439069","LP-IC","41.520413","90.439069"
"381","AUGIEENTB0000351","41.520413-90.439069","LP-IC","41.520413","90.439069"
"382","AUGIEENTB0000352","41.520413-90.439069","LP-IC","41.520413","90.439069"
"383","AUGIEENTB0000353","41.469869-90.506684","LP-IC","41.469869","90.506684"
"384","AUGIEENTB0000354","41.469869-90.506684","LP-IC","41.469869","90.506684"
"385","AUGIEENTB0000355","41.469869-90.506684","LP-IC","41.469869","90.506684"
"386","AUGIEENTB0000356","41.469869-90.506684","LP-IC","41.469869","90.506684"
"387","AUGIEENTB0000357","41.469869-90.506684","LP-IC","41.469869","90.506684"
"388","AUGIEENTB0000358","41.469869-90.506684","LP-IC","41.469869","90.506684"
"389","AUGIEENTB0000359","41.469869-90.506684","LP-IC","41.469869","90.506684"
"390","AUGIEENTB0000360","41.469869-90.506684","LP-IC","41.469869","90.506684"
"391","AUGIEENTB0000361","41.469869-90.506684","LP-IC","41.469869","90.506684"
"392","AUGIEENTB0000362","41.469869-90.506684","LP-IC","41.469869","90.506684"
"393","AUGIEENTB0000363","41.469869-90.506684","LP-IC","41.469869","90.506684"
"394","AUGIEENTB000246","41.489621-90.635952","LP-PR","41.489621","90.635952"
"395","AUGIEENTB000247","41.489621-90.635952","LP-PR","41.489621","90.635952"
"396","AUGIEENTB000248","41.489621-90.635952","LP-PR","41.489621","90.635952"
"397","AUGIEENTB000236","41.489621-90.635952","LP-PR","41.489621","90.635952"
"398","AUGIEENTB000237","41.489621-90.635952","LP-PR","41.489621","90.635952"
"399","AUGIEENTB000238","41.489621-90.635952","LP-PR","41.489621","90.635952"
"400","AUGIEENTB000239","41.489621-90.635952","LP-PR","41.489621","90.635952"
"401","AUGIEENTB0000306","41.4355-90.510444","LP-PR","41.4355","90.510444"
"402","AUGIEENTB0000272","41.567938-90.5591","LP-PR","41.567938","90.5591"
"403","AUGIEENTB0000273","41.567938-90.5591","LP-PR","41.567938","90.5591"
"404","AUGIEENTB0000274","41.567938-90.5591","LP-PR","41.567938","90.5591"
"405","AUGIEENTB0000275","41.567938-90.5591","LP-PR","41.567938","90.5591"
"406","AUGIEENTB0000276","41.567938-90.5591","LP-PR","41.567938","90.5591"
"407","AUGIEENTB0000318","41.436864-90.552542","LP-PR","41.436864","90.552542"
"408","AUGIEENTB0000319","41.436864-90.552542","LP-PR","41.436864","90.552542"
"409","AUGIEENTB0000320","41.436864-90.552542","LP-PR","41.436864","90.552542"
"410","AUGIEENTB0000321","41.436864-90.552542","LP-PR","41.436864","90.552542"
"411","AUGIEENTB0000322","41.436864-90.552542","LP-PR","41.436864","90.552542"
"412","AUGIEENTB0000323","41.436864-90.552542","LP-PR","41.436864","90.552542"
"413","AUGIEENTB0000324","41.436864-90.552542","LP-PR","41.436864","90.552542"
"414","NO SCAN","41.436864-90.552542","LP-PR","41.436864","90.552542"
"415","AUGIEENTB0000313","41.509388-90.491046","LP-PR","41.509388","90.491046"
"416","AUGIEENTB0000314","41.509388-90.491046","LP-PR","41.509388","90.491046"
"417","AUGIEENTB0000387","41.50609-90.73943","LP-AG","41.50609","90.73943"
"418","AUGIEENTB0000436","41.428138-90.508097","LP-AG","41.428138","90.508097"
"419","AUGIEENTB0000437","41.428138-90.508097","LP-AG","41.428138","90.508097"
"420","AUGIEENTB0000438","41.428138-90.508097","LP-AG","41.428138","90.508097"
"421","AUGIEENTB0000439","41.428138-90.508097","LP-AG","41.428138","90.508097"
"422","AUGIEENTB0000440","41.428138-90.508097","LP-AG","41.428138","90.508097"
"423","AUGIEENTB0000448","40.506216-90.553531","LP-GA","40.506216","90.553531"
"424","AUGIEENTB0000501","40.506216-90.553531","LP-GA","40.506216","90.553531"
"425","AUGIEENTB0000449","40.506216-90.553531","LP-GA","40.506216","90.553531"
"426","AUGIEENTB0000503","40.506216-90.553531","LP-GA","40.506216","90.553531"
"427","AUGIEENTB0000504","40.506216-90.553531","LP-GA","40.506216","90.553531"
"428","AUGIEENTB0000502","40.506216-90.553531","LP-GA","40.506216","90.553531"
"429","AUGIEENTB0000416","41.54693-90.552795","LP-GA","41.54693","90.552795"
"430","AUGIEENTB0000417","41.54693-90.552795","LP-GA","41.54693","90.552795"
"431","AUGIEENTB0000418","41.54693-90.552795","LP-GA","41.54693","90.552795"
"432","AUGIEENTB0000419","41.54693-90.552795","LP-GA","41.54693","90.552795"
"433","AUGIEENTB0000420","41.54693-90.552795","LP-GA","41.54693","90.552795"
"434","AUGIEENTB0000421","41.54693-90.552795","LP-GA","41.54693","90.552795"
"435","AUGIEENTB0000517","41.492597-90.550592","LP-GA","41.492597","90.550592"
"436",NA,"41.492597-90.550592","LP-GA","41.492597","90.550592"
"437",NA,"41.492597-90.550592","LP-GA","41.492597","90.550592"
"438",NA,"41.492597-90.550592","LP-GA","41.492597","90.550592"
"439","AUGIEENTB0000441","41.510229-90.490812","LP-GA","41.510229","90.490812"
"440","AUGIEENTB0000505","41.510229-90.490812","LP-GA","41.510229","90.490812"
"441","AUGIEENTB0000442","41.510229-90.490812","LP-GA","41.510229","90.490812"
"442","AUGIEENTB0000506","41.510229-90.490812","LP-GA","41.510229","90.490812"
"443","AUGIEENTB0000415","41.55032-90.45992","LP-GF","41.55032","90.45992"
"444","AUGIEENTB0000392","41.509708-90.640451","LP-GF","41.509708","90.640451"
"445","AUGIEENTB0000393","41.509708-90.640451","LP-GF","41.509708","90.640451"
"446","AUGIEENTB0000394","41.509708-90.640451","LP-GF","41.509708","90.640451"
"447","AUGIEENTB0000395","41.435905-90.501557","LP-GF","41.435905","90.501557"
"448","AUGIEENTB0000388","41.550606-90.62248","LP-GM","41.550606","90.62248"
"449","AUGIEENTB0000389","41.550606-90.62248","LP-GM","41.550606","90.62248"
"450","AUGIEENTB0000409","41.57974-90.48991","LP-GM","41.57974","90.48991"
"451","AUGIEENTB0000410","41.57974-90.48991","LP-GM","41.57974","90.48991"
"452","AUGIEENTB0000411","41.57974-90.48991","LP-GM","41.57974","90.48991"
"453","AUGIEENTB0000412","41.57974-90.48991","LP-GM","41.57974","90.48991"
"454","AUGIEENTB0000413","41.57974-90.48991","LP-GM","41.57974","90.48991"
"455","AUGIEENTB0000414","41.57974-90.48991","LP-GM","41.57974","90.48991"
"456","AUGIEENTB0000455","41.50206-90.45157","LP-GM","41.50206","90.45157"
